text,is_risky,reason
임차인은 계약기간 중 어떠한 사유로도 해지를 요청할 수 없다.,True,중도 해지 불가로 임차인 권리 제한
계약 해지는 임대인의 서면 동의가 있을 경우에만 가능하다.,True,해지 조건이 임대인에게 일방적으로 유리함
임대인은 계약 종료 후 60일 이내에 보증금을 반환한다.,True,보증금 반환 지연 조건이 명시되어 있음
본 계약은 별도의 서면 통보 없이 자동으로 갱신된다.,True,자동 갱신으로 인한 임차인 불이익 가능성
임대인은 필요 시 본 계약의 일부 또는 전부를 변경할 수 있다.,True,계약 변경 권한이 일방적으로 임대인에게 있음
임차인은 발생하는 모든 수선 및 유지관리 비용을 부담한다.,True,시설 수리에 대한 책임이 전부 임차인에게 있음
위반 시 임차인은 보증금 전액을 반환받지 못한다.,True,과도한 위약금으로 불공정함
임차인은 임대인의 사전 승인 없이 계약 해지를 요청할 수 없다.,True,해지 조건이 사실상 차단되어 있음
임차인의 귀책사유가 발생한 경우 계약은 즉시 종료된다.,True,귀책 기준이 모호하고 일방적임
임차인은 임대 목적물의 관리와 보안에 대한 모든 책임을 진다.,True,관리 의무가 과도하게 임차인에게 집중됨
임대인은 임차인의 동의 없이 해당 공간에 출입할 수 있다.,True,사생활 침해 및 임차인 권리 침해 우려
임차인은 계약 조건 변경에 대해 이의를 제기할 수 없다.,True,이의 제기권 제한으로 법적 권리 침해
임대인은 계약과 관련된 법적 책임을 지지 않는다.,True,임대인의 책임 회피 조항
보증금은 계약 종료 후 임대인의 내부 절차에 따라 반환된다.,True,반환 조건이 불명확하고 지연 우려 있음
임차인은 계약 조건을 숙지한 것으로 간주한다.,True,임대인의 설명 책임을 회피하는 표현
임대인은 사정에 따라 임대료를 조정할 수 있다.,True,임대료 변경 기준이 모호하고 임의적임
계약 해지는 계약기간 만료일 기준 60일 이전에 서면 통보가 없을 경우 자동 연장된다.,True,사전 통보 없이 자동 연장되어 임차인 불이익 가능성
임차인은 본 계약과 관련하여 소송을 제기할 수 없다.,True,법적 구제 수단을 차단하는 조항
임대차 분쟁은 임대인의 주소지를 관할하는 법원에서 해결한다.,True,소송 관할권이 임대인에게만 유리하게 설정됨
임대인은 사전 통보 없이 계약을 해지할 수 있다.,True,임대인의 일방적 해지 가능성
임차인은 계약기간 중 어떠한 사유로도 해지를 요청할 수 없다.,True,중도 해지 불가로 임차인 권리 제한
계약 해지는 임대인의 서면 동의가 있을 경우에만 가능하다.,True,해지 조건이 임대인에게 일방적으로 유리함
임대인은 계약 종료 후 60일 이내에 보증금을 반환한다.,True,보증금 반환 지연 조건이 명시되어 있음
본 계약은 별도의 서면 통보 없이 자동으로 갱신된다.,True,자동 갱신으로 인한 임차인 불이익 가능성
임대인은 필요 시 본 계약의 일부 또는 전부를 변경할 수 있다.,True,계약 변경 권한이 일방적으로 임대인에게 있음
임차인은 발생하는 모든 수선 및 유지관리 비용을 부담한다.,True,시설 수리에 대한 책임이 전부 임차인에게 있음
위반 시 임차인은 보증금 전액을 반환받지 못한다.,True,과도한 위약금으로 불공정함
임차인은 임대인의 사전 승인 없이 계약 해지를 요청할 수 없다.,True,해지 조건이 사실상 차단되어 있음
임차인의 귀책사유가 발생한 경우 계약은 즉시 종료된다.,True,귀책 기준이 모호하고 일방적임
임차인은 임대 목적물의 관리와 보안에 대한 모든 책임을 진다.,True,관리 의무가 과도하게 임차인에게 집중됨
임대인은 임차인의 동의 없이 해당 공간에 출입할 수 있다.,True,사생활 침해 및 임차인 권리 침해 우려
임차인은 계약 조건 변경에 대해 이의를 제기할 수 없다.,True,이의 제기권 제한으로 법적 권리 침해
임대인은 계약과 관련된 법적 책임을 지지 않는다.,True,임대인의 책임 회피 조항
보증금은 계약 종료 후 임대인의 내부 절차에 따라 반환된다.,True,반환 조건이 불명확하고 지연 우려 있음
임차인은 계약 조건을 숙지한 것으로 간주한다.,True,임대인의 설명 책임을 회피하는 표현
임대인은 사정에 따라 임대료를 조정할 수 있다.,True,임대료 변경 기준이 모호하고 임의적임
계약 해지는 계약기간 만료일 기준 60일 이전에 서면 통보가 없을 경우 자동 연장된다.,True,사전 통보 없이 자동 연장되어 임차인 불이익 가능성
임차인은 본 계약과 관련하여 소송을 제기할 수 없다.,True,법적 구제 수단을 차단하는 조항
임대차 분쟁은 임대인의 주소지를 관할하는 법원에서 해결한다.,True,소송 관할권이 임대인에게만 유리하게 설정됨
임대인은 사전 통보 없이 계약을 해지할 수 있다.,True,임대인의 일방적 해지 가능성
임차인은 계약기간 중 어떠한 사유로도 해지를 요청할 수 없다.,True,중도 해지 불가로 임차인 권리 제한
계약 해지는 임대인의 서면 동의가 있을 경우에만 가능하다.,True,해지 조건이 임대인에게 일방적으로 유리함
임대인은 계약 종료 후 60일 이내에 보증금을 반환한다.,True,보증금 반환 지연 조건이 명시되어 있음
본 계약은 별도의 서면 통보 없이 자동으로 갱신된다.,True,자동 갱신으로 인한 임차인 불이익 가능성
임대인은 필요 시 본 계약의 일부 또는 전부를 변경할 수 있다.,True,계약 변경 권한이 일방적으로 임대인에게 있음
임차인은 발생하는 모든 수선 및 유지관리 비용을 부담한다.,True,시설 수리에 대한 책임이 전부 임차인에게 있음
위반 시 임차인은 보증금 전액을 반환받지 못한다.,True,과도한 위약금으로 불공정함
임차인은 임대인의 사전 승인 없이 계약 해지를 요청할 수 없다.,True,해지 조건이 사실상 차단되어 있음
임차인의 귀책사유가 발생한 경우 계약은 즉시 종료된다.,True,귀책 기준이 모호하고 일방적임
임차인은 임대 목적물의 관리와 보안에 대한 모든 책임을 진다.,True,관리 의무가 과도하게 임차인에게 집중됨
임대인은 임차인의 동의 없이 해당 공간에 출입할 수 있다.,True,사생활 침해 및 임차인 권리 침해 우려
임차인은 계약 조건 변경에 대해 이의를 제기할 수 없다.,True,이의 제기권 제한으로 법적 권리 침해
임대인은 계약과 관련된 법적 책임을 지지 않는다.,True,임대인의 책임 회피 조항
보증금은 계약 종료 후 임대인의 내부 절차에 따라 반환된다.,True,반환 조건이 불명확하고 지연 우려 있음
임차인은 계약 조건을 숙지한 것으로 간주한다.,True,임대인의 설명 책임을 회피하는 표현
임대인은 사정에 따라 임대료를 조정할 수 있다.,True,임대료 변경 기준이 모호하고 임의적임
계약 해지는 계약기간 만료일 기준 60일 이전에 서면 통보가 없을 경우 자동 연장된다.,True,사전 통보 없이 자동 연장되어 임차인 불이익 가능성
임차인은 본 계약과 관련하여 소송을 제기할 수 없다.,True,법적 구제 수단을 차단하는 조항
임대차 분쟁은 임대인의 주소지를 관할하는 법원에서 해결한다.,True,소송 관할권이 임대인에게만 유리하게 설정됨
임대인은 사전 통보 없이 계약을 해지할 수 있다.,True,임대인의 일방적 해지 가능성
임차인은 계약기간 중 어떠한 사유로도 해지를 요청할 수 없다.,True,중도 해지 불가로 임차인 권리 제한
계약 해지는 임대인의 서면 동의가 있을 경우에만 가능하다.,True,해지 조건이 임대인에게 일방적으로 유리함
임대인은 계약 종료 후 60일 이내에 보증금을 반환한다.,True,보증금 반환 지연 조건이 명시되어 있음
본 계약은 별도의 서면 통보 없이 자동으로 갱신된다.,True,자동 갱신으로 인한 임차인 불이익 가능성
임대인은 필요 시 본 계약의 일부 또는 전부를 변경할 수 있다.,True,계약 변경 권한이 일방적으로 임대인에게 있음
임차인은 발생하는 모든 수선 및 유지관리 비용을 부담한다.,True,시설 수리에 대한 책임이 전부 임차인에게 있음
위반 시 임차인은 보증금 전액을 반환받지 못한다.,True,과도한 위약금으로 불공정함
임차인은 임대인의 사전 승인 없이 계약 해지를 요청할 수 없다.,True,해지 조건이 사실상 차단되어 있음
임차인의 귀책사유가 발생한 경우 계약은 즉시 종료된다.,True,귀책 기준이 모호하고 일방적임
임차인은 임대 목적물의 관리와 보안에 대한 모든 책임을 진다.,True,관리 의무가 과도하게 임차인에게 집중됨
임대인은 임차인의 동의 없이 해당 공간에 출입할 수 있다.,True,사생활 침해 및 임차인 권리 침해 우려
임차인은 계약 조건 변경에 대해 이의를 제기할 수 없다.,True,이의 제기권 제한으로 법적 권리 침해
